_id,created_at,tweet_content,keyword,user_location,entities,classification
ObjectId(6091f3547ef2d107a44055cc),2021-05-04 12:30:48,mds nubank nunca libera mais limite pra mim,['Nubank'],Goiânia,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}","[{""classification"":false,""created_at"":""2021-05-10T12:49:58.805Z""},{""classification"":false,""created_at"":""2021-05-10T13:27:53.365Z""},{""classification"":true,""created_at"":""2021-05-10T13:35:27.396Z""}]"
ObjectId(6091f3547ef2d107a44055cd),2021-05-04 12:31:09,mais viciado que a bateria do meu celular só eu por coca-cola 🤦🏻‍♀️🤦🏻‍♀️,['Coca-cola'],Balneário Camboriú,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}","[{""classification"":false,""created_at"":""2021-05-10T12:43:36.439Z""},{""classification"":true,""created_at"":""2021-05-10T12:50:50.683Z""},{""classification"":true,""created_at"":""2021-05-10T13:03:11.475Z""}]"
ObjectId(6091f3547ef2d107a44055ce),2021-05-04 12:31:27,"toda vez que vejo Nubank nos tt vou lá conferir que meu saldo tá certo

juro que traumatizei com as histórias do nubank roubando dinheiro",['Nubank'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}","[{""classification"":false,""created_at"":""2021-05-10T12:38:50.850Z""},{""classification"":false,""created_at"":""2021-05-10T12:44:02.691Z""},{""classification"":true,""created_at"":""2021-05-10T12:50:28.829Z""}]"
ObjectId(6091f3547ef2d107a44055cf),2021-05-04 12:31:25,Pedi 10k de limite pra Nubank serasi?,['Nubank'],"Rio de Janeiro, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}","[{""classification"":true,""created_at"":""2021-05-10T12:55:20.472Z""},{""classification"":true,""created_at"":""2021-05-10T13:04:07.714Z""},{""classification"":true,""created_at"":""2021-05-10T13:28:58.268Z""}]"
ObjectId(6091f3547ef2d107a44055d0),2021-05-04 12:31:20,"@kayofeer @nubank Aconteceu isso c a minha mãe, quase 1 ano e nada ainda",['Nubank'],"Macaé, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'kayofeer', 'name': 'Kayo', 'id': 1604672425, 'id_str': '1604672425', 'indices': [0, 9]}, {'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [10, 17]}], 'symbols': []}","[{""classification"":false,""created_at"":""2021-05-10T12:43:09.739Z""},{""classification"":true,""created_at"":""2021-05-10T13:01:14.481Z""},{""classification"":true,""created_at"":""2021-05-10T13:31:31.120Z""}]"
ObjectId(6091f3547ef2d107a44055d1),2021-05-04 12:31:34,"Fui escolhido e Nubank aumentou 50 reais no meu limite … uau, revolucionário KKKKKKKKK",['Nubank'],"Ribeirão Preto, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}","[{""classification"":true,""created_at"":""2021-05-10T12:24:50.309Z""},{""classification"":true,""created_at"":""2021-05-10T12:38:59.982Z""},{""classification"":false,""created_at"":""2021-05-10T12:52:37.220Z""}]"
ObjectId(6091f3547ef2d107a44055d2),2021-05-04 12:31:35,Vocês acham que esses preju que nubank teve até uns tempos é algo inesperado... Ahhh inocente ➡️,['Nubank'],"São Paulo, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}","[{""classification"":true,""created_at"":""2021-05-10T12:37:17.870Z""},{""classification"":true,""created_at"":""2021-05-10T12:40:52.581Z""},{""classification"":true,""created_at"":""2021-05-10T12:41:52.590Z""}]"
ObjectId(6091f3547ef2d107a44055d3),2021-05-04 12:31:46,@Rodrigolps_ No meu caso eu só observo a nubank aumentando os juros da minha dívida 😪,['Nubank'],🏳️‍🌈,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'Rodrigolps_', 'name': 'lovezinho', 'id': 487731479, 'id_str': '487731479', 'indices': [0, 12]}], 'symbols': []}","[{""classification"":false,""created_at"":""2021-05-10T12:42:52.347Z""},{""classification"":false,""created_at"":""2021-05-10T12:55:50.429Z""},{""classification"":false,""created_at"":""2021-05-10T13:03:32.487Z""}]"
ObjectId(6091f3547ef2d107a44055d4),2021-05-04 12:31:47,@msswx @nubank Processo neles,['Nubank'],Macaé,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'msswx', 'name': 'Mari Siqueira', 'id': 1240771193319370752, 'id_str': '1240771193319370752', 'indices': [0, 6]}, {'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [7, 14]}], 'symbols': []}","[{""classification"":false,""created_at"":""2021-05-10T12:35:07.387Z""},{""classification"":false,""created_at"":""2021-05-10T12:59:31.671Z""},{""classification"":false,""created_at"":""2021-05-10T13:03:07.927Z""}]"
ObjectId(6091f3547ef2d107a44055d5),2021-05-04 12:31:56,O nubank tá mais que preparada pra esses riscos ... E claro que para conquistar espaço essa exposição é necessária. ➡️,['Nubank'],"São Paulo, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}","[{""classification"":true,""created_at"":""2021-05-10T12:54:32.791Z""},{""classification"":true,""created_at"":""2021-05-10T13:34:46.100Z""},{""classification"":true,""created_at"":""2021-05-10T14:04:08.709Z""}]"
ObjectId(6091f3547ef2d107a44055d6),2021-05-04 12:32:17,@Lukinhasbp17 Kkkkkkkk Nubank gosta deu,['Nubank'],"Palmas, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'Lukinhasbp17', 'name': 'luquinha', 'id': 1064206856233648133, 'id_str': '1064206856233648133', 'indices': [0, 13]}], 'symbols': []}","[{""classification"":true,""created_at"":""2021-05-10T12:34:16.256Z""},{""classification"":true,""created_at"":""2021-05-10T12:50:51.444Z""},{""classification"":true,""created_at"":""2021-05-10T13:05:58.468Z""}]"
ObjectId(6091f3547ef2d107a44055d7),2021-05-04 12:32:19,O nubank tá mais que preparado pra esses riscos ... E claro que para conquistar espaço essa exposição é necessária. ➡️,['Nubank'],"São Paulo, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}","[{""classification"":false,""created_at"":""2021-05-10T12:41:03.709Z""},{""classification"":true,""created_at"":""2021-05-10T13:31:16.091Z""},{""classification"":true,""created_at"":""2021-05-10T13:47:51.239Z""}]"
