,created_at,tweet_content,keyword,user_location,hashtags,symbols,urls,user_mentions,avg_sentiment
0,2021-05-04 12:30:48,mds nubank nunca libera mais limite pra mim,['Nubank'],Goiânia,[],[],[],[],0
1,2021-05-04 12:31:09,mais viciado que a bateria do meu celular só eu por coca-cola 🤦🏻‍♀️🤦🏻‍♀️,['Coca-cola'],Balneário Camboriú,[],[],[],[],1
2,2021-05-04 12:31:27,"toda vez que vejo Nubank nos tt vou lá conferir que meu saldo tá certo

juro que traumatizei com as histórias do nubank roubando dinheiro",['Nubank'],None,[],[],[],[],0
3,2021-05-04 12:31:25,Pedi 10k de limite pra Nubank serasi?,['Nubank'],"Rio de Janeiro, Brasil",[],[],[],[],1
4,2021-05-04 12:31:20,"@kayofeer @nubank Aconteceu isso c a minha mãe, quase 1 ano e nada ainda",['Nubank'],"Macaé, Brasil",[],[],[],"[{'screen_name': 'kayofeer', 'name': 'Kayo', 'id': 1604672425, 'id_str': '1604672425', 'indices': [0, 9]}, {'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [10, 17]}]",1
5,2021-05-04 12:31:34,"Fui escolhido e Nubank aumentou 50 reais no meu limite … uau, revolucionário KKKKKKKKK",['Nubank'],"Ribeirão Preto, Brasil",[],[],[],[],1
6,2021-05-04 12:31:35,Vocês acham que esses preju que nubank teve até uns tempos é algo inesperado... Ahhh inocente ➡️,['Nubank'],"São Paulo, Brasil",[],[],[],[],1
7,2021-05-04 12:31:46,@Rodrigolps_ No meu caso eu só observo a nubank aumentando os juros da minha dívida 😪,['Nubank'],🏳️‍🌈,[],[],[],"[{'screen_name': 'Rodrigolps_', 'name': 'lovezinho', 'id': 487731479, 'id_str': '487731479', 'indices': [0, 12]}]",0
8,2021-05-04 12:31:47,@msswx @nubank Processo neles,['Nubank'],Macaé,[],[],[],"[{'screen_name': 'msswx', 'name': 'Mari Siqueira', 'id': 1240771193319370752, 'id_str': '1240771193319370752', 'indices': [0, 6]}, {'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [7, 14]}]",0
9,2021-05-04 12:31:56,O nubank tá mais que preparada pra esses riscos ... E claro que para conquistar espaço essa exposição é necessária. ➡️,['Nubank'],"São Paulo, Brasil",[],[],[],[],1
10,2021-05-04 12:32:17,@Lukinhasbp17 Kkkkkkkk Nubank gosta deu,['Nubank'],"Palmas, Brasil",[],[],[],"[{'screen_name': 'Lukinhasbp17', 'name': 'luquinha', 'id': 1064206856233648133, 'id_str': '1064206856233648133', 'indices': [0, 13]}]",1
11,2021-05-04 12:32:19,O nubank tá mais que preparado pra esses riscos ... E claro que para conquistar espaço essa exposição é necessária. ➡️,['Nubank'],"São Paulo, Brasil",[],[],[],[],1
12,2021-05-04 12:32:31,"“Vou gastar tudo na Nike, cueca da Calvin Klein”",['Nike'],Hell not Helsinki,[],[],[],[],0
13,2021-05-04 12:32:35,"@Pow3rTale Boa mano, vá que eles podem dar uma xiaomi para vc, vc merece mano kkkkkkk",['Xiaomi'],None,[],[],[],"[{'screen_name': 'Pow3rTale', 'name': 'Power ✨SORTEIO NO FIXADO✨', 'id': 1225962221647339522, 'id_str': '1225962221647339522', 'indices': [0, 10]}]",1
14,2021-05-04 12:32:35,"eu: vou parar de comer besteira 

logo dps meu café da manhã foi bis e coca cola",['Coca cola'],None,[],[],[],[],0
15,2021-05-04 12:32:50,além de linda usa nike 😍,['Nike'],None,[],[],[],"[{'screen_name': 'mongs_hugo', 'name': 'hugo ✨', 'id': 1208201731068321792, 'id_str': '1208201731068321792', 'indices': [3, 14]}]",1
16,2021-05-04 12:32:55,"Já aprovei os R$ 20,00 de limite a mais que o @nubank deu e paz um pix para 586dd1fb-15fb-45ff-9fcd-63cd5cafde33 com uma mensagem.",['Nubank'],None,[],[],[],"[{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [46, 53]}]",1
17,2021-05-04 12:32:59,viciado em Shein,['SHEIN'],"Windermere, FL",[],[],[],[],1
18,2021-05-04 12:33:13,"tipo a parada de falar que a furia é muito nike e gatorade e o plano é raiz, além do bagulho do SM",['Nike'],None,[],[],[],[],0
19,2021-05-04 12:33:39,@nubank que ódio de você! Não pode aprovar meu crédito por quê ?,['Nubank'],None,[],[],[],"[{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [0, 7]}]",0
20,2021-05-04 12:33:42,meu sonho parar de tomar coca cola,['Coca cola'],Anápolis,[],[],[],"[{'screen_name': 'brennersbueno', 'name': 'Brenner Bueno', 'id': 907328271406247937, 'id_str': '907328271406247937', 'indices': [3, 17]}]",1
21,2021-05-04 12:34:12,Nubank pare de aumentar meu limite pf eu me sinto no obrigação de gastar,['Nubank'],"Goiânia, Brasil",[],[],[],[],1
22,2021-05-04 12:34:13,nubank dobrou meu limite de novo,['Nubank'],Roo / Cba,[],[],[],[],1
23,2021-05-04 12:34:13,esse aplicativo da nike eh muito bom so queria incluir meu deezer nele,['Nike'],recife,[],[],[],[],1
24,2021-05-04 12:34:16,"o nubank liberou mais limites p todos, menos o meu ... eu só queria entender, se eu pago até dias antes da fatura vencer 
@nubank",['Nubank'],"Engenho da Rainha, Rio de Jane",[],[],[],"[{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [122, 129]}]",1
25,2021-05-04 12:34:18,Nubank aumentando meu limite do nada socorro,['Nubank'],Brasília,[],[],[],[],1
26,2021-05-04 12:34:21,"Já aprovei os R$ 20,00 de limite a mais que o @nubank deu e faz um pix para 586dd1fb-15fb-45ff-9fcd-63cd5cafde33 com uma mensagem.",['Nubank'],None,[],[],[],"[{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [46, 53]}]",1
27,2021-05-04 12:34:22,vi a nubank no topico e fui olhar o meu tbm ja q geral ta falando q aumentaram o limite kkk,['Nubank'],13,[],[],[],[],1
28,2021-05-04 12:34:35,Sexta feira ir na Nike é tudo que eu quero pprt 🤧,['Nike'],Itaboraí,[],[],[],[],1
29,2021-05-04 12:35:07,"caí no mundinho SHEIN
estou perdida amadas??",['SHEIN'],Curitiba - PR,[],[],[],[],1
30,2021-05-04 12:35:17,"Nubank generoso deixando o povo se endividar e pagar juros ai que lindo, nubank o amigo de todos sqn.",['Nubank'],None,[],[],[],[],0
31,2021-05-04 12:35:36,@frifasnews Ai o cara com a blusa da nike,['Nike'],None,[],[],[],"[{'screen_name': 'frifasnews', 'name': 'FRIFAS NEW’S', 'id': 1299343628985413633, 'id_str': '1299343628985413633', 'indices': [0, 11]}]",1
32,2021-05-04 12:35:18,nubank esse aumento de limite ta me dando gatilho,['Nubank'],"Pindamonhangaba, Brasil",[],[],[],[],0
33,2021-05-04 12:35:38,meu deus comprei muita coisa na shein kkkkkkkkkkkk vou falir,['SHEIN'],None,[],[],[],[],1
34,2021-05-04 12:35:40,uma hora eh roupa da shein outra hora roupa de time outra conjunto da cyclone i as vezes piercing no umbigo 💔,['SHEIN'],19,[],[],[],[],1
35,2021-05-04 12:35:48,todos meus mano de Nike,['Nike'],cxs,[],[],[],[],1
36,2021-05-04 12:35:47,Pessoal comentando aumento de crédito no nubank hoje e eu lembrando que o meu aumenta de 200 em 200 reais. Ainda não sei se é bom ou ruim,['Nubank'],None,[],[],[],[],1
37,2021-05-04 12:35:50,achei o vestido na shein q odio,['SHEIN'],"Salvador, Brasil",[],[],[],[],0
38,2021-05-04 12:36:13,"MINHAS ROUPAS DA SHEIN CHEGARAM, EU TO ANSIOSA",['SHEIN'],"Aracaju, Brasil",[],[],[],[],1
39,2021-05-04 12:36:13,"Gente, alguém sabe onde consigo comprar um fone xiaomi em São Luís daqueles sem fio massa, por um precinho legal? 

Ps: no site ta 190",['Xiaomi'],"São Paulo, Brasil",[],[],[],[],1
40,2021-05-04 12:36:18,nubank eu nao pedi p vc aumentar meu limite cara......... assim vc n me ajuda,['Nubank'],None,[],[],[],[],1
41,2021-05-04 12:36:20,"@Tiagogreis Microsoft: super difícil criar um SO, Coca Cola: patente cola que vicia e AmBev.",['Coca cola'],Aracaju,[],[],[],"[{'screen_name': 'Tiagogreis', 'name': 'Tiago Guitián Reis', 'id': 2428055045, 'id_str': '2428055045', 'indices': [0, 11]}]",1
42,2021-05-04 12:36:27,"todos aquellos hombres q todo este tiempo (antes de q llegara mi pedido de shein) me ignoraron q sepan q ahora que estoy en mi cima (ha llegado mi pedido de shein) no estoy para ellos

si no estuviste en las malas (antes de shein) no tendras lugar en las buenas (después de shein)",['SHEIN'],None,[],[],[],[],0
43,2021-05-04 12:36:31,as minhas cenas da shein chegaram wlduejbshd,['SHEIN'],she/her,[],[],[],[],1
44,2021-05-04 12:36:30,nubank aumentou em 10 reais meu limite... já é algo ne,['Nubank'],krakoa,[],[],[],[],1
45,2021-05-04 12:36:32,"além de shein agr eu tô viciada em comprinhas no enjoei, scr",['SHEIN'],"São Paulo, Brasil",[],[],[],[],1
46,2021-05-04 12:36:52,"@deszanti ardidas geralmente

mas depende do nike",['Nike'],"Guarulhos, Iraque",[],[],[],"[{'screen_name': 'deszanti', 'name': 'lua', 'id': 777317655007129600, 'id_str': '777317655007129600', 'indices': [0, 9]}]",0
47,2021-05-04 12:37:15,Nunca mais meu limite do Nubank aumentou,['Nubank'],Aldeia da Folha 🍃,[],[],[],[],0
48,2021-05-04 12:37:23,vontadezinha véa besta de pegar os 20 mil reais q o Nubank disse q tinha disponível pra empréstimo e fugir do país,['Nubank'],None,[],[],[],[],1
49,2021-05-04 12:37:32,"a nubank aumentando meu limite, confia hahahahaah",['Nubank'],"Icuí City, Ananindeua, Brasil",[],[],[],[],1
50,2021-05-04 12:37:46,"Vi o @nubank no topo, já vim correndo ver se era o Apple Pay! 🤡🤡🤡 agiliza aí né @Apple 🙏🏼",['Nubank'],"Goiânia, Brasil",[],[],[],"[{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [5, 12]}, {'screen_name': 'Apple', 'name': 'Apple', 'id': 380749300, 'id_str': '380749300', 'indices': [80, 86]}]",0
51,2021-05-04 12:37:49,"@akbilbo Drx paia dms, e só ele p me roubar da nike",['Nike'],031💸Ced,[],[],[],"[{'screen_name': 'akbilbo', 'name': 'bilbo', 'id': 2786336070, 'id_str': '2786336070', 'indices': [0, 8]}]",0
52,2021-05-04 12:38:18,É até bom q a nubank n aumente meu limite,['Nubank'],"Camp Nou, Salvador",[],[],[],[],1
53,2021-05-04 12:37:56,"Nubank aumentou meu limite p 400 reais, olha o diabo agindo",['Nubank'],"Rio de Janeiro, Brasil",[],[],[],[],1
54,2021-05-04 12:38:21,eu amo que o nubank só aumenta o limite de quem nem emprego tem,['Nubank'],None,[],[],[],"[{'screen_name': 'danilopaulodf', 'name': 'blessed bacon', 'id': 2352330198, 'id_str': '2352330198', 'indices': [3, 17]}]",0
55,2021-05-04 12:39:07,todo mundo ganhando aumento no limite da nubank e eu tendo o pedido de aumento recusado 🤡🤡🤡,['Nubank'],rio de janeiro,[],[],[],[],0
56,2021-05-04 12:38:58,nubank aumenta meu limite pra 5 mil e eu digo se esperava ou nao,['Nubank'],hogwarts,[],[],[],[],1
57,2021-05-04 12:39:21,"é golpe seguido de golpe Nubank e todos os outros cartões de crédito.
No fundo todos nós precisamos aprender nas aulas da Nathalia Arcuri",['Nubank'],"Campina Grande, Brasil",[],[],[],[],0
58,2021-05-04 12:39:28,"@gabriellima_004 Por isso q eu prefiro xiaomi zz , a câmera pode perder pro iPhone mais a bateria é o dia todo kkkkkkkk",['Xiaomi'],"Contagem, Brasil",[],[],[],"[{'screen_name': 'gabriellima_004', 'name': 'lima 🔺', 'id': 1172164441892413442, 'id_str': '1172164441892413442', 'indices': [0, 16]}]",0
