,tweet_content,keyword,user_location,classified
0,mds nunca liberar,['Nubank'],Goiânia,0.0
2,toda vez vejo lá conferir saldo certo juro traumatizar histórias roubar dinheiro,['Nubank'],None,0.0
7,rodrigolps _ caso observo aumentar juros dívida,['Nubank'],🏳️‍🌈,0.0
8,msswx processo nele,['Nubank'],Macaé,0.0
12,gastar cueca calvin klein,['Nike'],Hell not Helsinki,0.0
14,parar comer besteira logo dps café manhã bis,['Coca-cola'],None,0.0
18,tipo parada falar furia gatorade plano raiz além bagulho sm,['Nike'],None,0.0
19,ódio poder aprovar crédito quê,['Nubank'],None,0.0
30,generoso deixar povo endividar pagar juros lindar sqn,['Nubank'],None,0.0
32,aumento dar gatilho,['Nubank'],"Pindamonhangaba, Brasil",0.0
37,achar vestir odio,['SHEIN'],"Salvador, Brasil",0.0
42,aquellos hombres tiempo antes llegara mi pedido ignoraron sepan ahora estoy mi cima ha llegado mi pedir estoy ellos si estuviste las malas antes tendras lugar las buenas después,['SHEIN'],None,0.0
46,deszanti ardido geralmente depender,['Nike'],"Guarulhos, Iraque",0.0
47,nunca aumentar,['Nubank'],Aldeia da Folha 🍃,0.0
50,vir topo vir correr ver apple pay agilizar né apple,['Nubank'],"Goiânia, Brasil",0.0
51,akbilbo drx paia dms roubar,['Nike'],031💸Ced,0.0
54,amo aumentar emprego,['Nubank'],None,0.0
55,mundo ganhar aumento tendo pedir aumento recusar,['Nubank'],rio de janeiro,0.0
57,golpe seguir golpe outros cartões crédito fundo precisar aprender aulas arcuri,['Nubank'],"Campina Grande, Brasil",0.0
58,preferir zz câmera poder perder iphone bateria dia,['Xiaomi'],"Contagem, Brasil",0.0
63,anos nunca aumentar centavo,['Nubank'],None,0.0
64,entao aumentar varios limites ate renda renda pagar dia nao fdp,['Nubank'],Red Room,0.0
67,sedento pontos,['SHEIN'],Guilherme 👼🏽🥀🖤,0.0
68,tomar cu taxa sacar dinheiro,['Nubank'],"Londrina, Brasil",0.0
69,apostar banrisul dar maior pedir,['Nubank'],Porto Alegre -RS,0.0
72,joarlens rapaz afrontar sentir menosprezar,['Nubank'],None,0.0
73,sustentar gracinha,['Nubank'],"Vila Valério, Brasil",0.0
74,pestanaskrr toda,['Coca-cola'],death star,0.0
76,primeira ficada pedir blusa,['Nike'],"Vila Velha, Brasil",0.0
77,ameaçar bloquear cartão pagar fatura,['Nubank'],None,0.0
78,assim aumentar outros nada,['Nubank'],Brasil,0.0
80,mundo ganhar aumento tendo pedir aumento recusar,['Nubank'],Brasil,0.0
82,simplesmente odiar,['Nubank'],None,0.0
84,receber encomenda finalmente acertar tamanhos coleira mandar lord pequena nunca acerto,['SHEIN'],Setúbal,0.0
86,poxa anos anos pontuais sido agraciar nenhuma,['Nubank'],Mariana-Mg,0.0
88,humilhação pobre aumento nada,['Nubank'],None,0.0
92,aumentar geral,['Nubank'],"Rio de Janeiro, Brasil",0.0
95,ater tirar dúvida,['Nubank'],None,0.0
98,vamos concordar banco inter melhor banco servir render centavos sacar ver absurdo,['Nubank'],"Macapá, Brasil",0.0
104,alto trabalhar,['Nubank'],None,0.0
105,falar melhoraria alimentação semana eis tomar café manhã,['Coca-cola'],None,0.0
106,acaso mulheres acabar baixar aparecer coisa feminina,['SHEIN'],"Itu, Brasil",0.0
112,_ joaopgatti sophiaemanuella pedir aumento aumentar pruma espécie final fila,['Nubank'],"Sunyshore City, Sinnoh",0.0
118,alguem ajudar,['Nubank'],Lomas de zamora,0.0
119,amazonilio daddy dar academia tênis,['Nike'],sei não ó,0.0
120,achar compras perder caminho caminhão capotar perder,['SHEIN'],None,0.0
121,pedir trânsito enrolar,['SHEIN'],CRVG,0.0
122,comprar toda semana neh burguêsa safar,['SHEIN'],1994,0.0
124,achar precisar deixar nome spc dever agiotar perder casa jogo azar,['Nubank'],"zona leste, sp",0.0
125,adiirjr sim falir android adir pira poder,['Xiaomi'],"Blumenau, Brasil",0.0
128,piada,['Nubank'],None,0.0
129,aumentar nunk,['Nubank'],"Rio de Janeiro, Brasil",0.0
131,entro site pergunto rico,['Nike'],None,0.0
132,sofrer achar jaqueta nba,['Nike'],21,0.0
133,tipo mentos tamos explodir,['Coca-cola'],Cuba,0.0
134,xbabimonteiro acordar lindo mensagem porém aumento reais piar,['Nubank'],Brasília,0.0
136,shouyoplcs perfume jogador lol,['Boticário'],dc: Naomi Aiko#4324    (ela/u),0.0
