,_id,created_at,tweet_content,keyword,user_location,entities,classified
1,ObjectId(6091f3547ef2d107a44055cd),2021-05-04 12:31:09,viciar bateria celular,['Coca-cola'],Balneário Camboriú,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
3,ObjectId(6091f3547ef2d107a44055cf),2021-05-04 12:31:25,pedir serasi,['Nubank'],"Rio de Janeiro, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
4,ObjectId(6091f3547ef2d107a44055d0),2021-05-04 12:31:20,kayofeer acontecer mãe quase ano nada ainda,['Nubank'],"Macaé, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'kayofeer', 'name': 'Kayo', 'id': 1604672425, 'id_str': '1604672425', 'indices': [0, 9]}, {'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [10, 17]}], 'symbols': []}",1.0
5,ObjectId(6091f3547ef2d107a44055d1),2021-05-04 12:31:34,escolher aumentar reais uau revolucionário kkkkkkkkk,['Nubank'],"Ribeirão Preto, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
6,ObjectId(6091f3547ef2d107a44055d2),2021-05-04 12:31:35,achar preju tempos algo inesperado ahhh inocente,['Nubank'],"São Paulo, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
9,ObjectId(6091f3547ef2d107a44055d5),2021-05-04 12:31:56,preparar riscos claro conquistar espaço exposição necessária,['Nubank'],"São Paulo, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
10,ObjectId(6091f3547ef2d107a44055d6),2021-05-04 12:32:17,gostar dar,['Nubank'],"Palmas, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'Lukinhasbp17', 'name': 'luquinha', 'id': 1064206856233648133, 'id_str': '1064206856233648133', 'indices': [0, 13]}], 'symbols': []}",1.0
11,ObjectId(6091f3547ef2d107a44055d7),2021-05-04 12:32:19,preparar riscos claro conquistar espaço exposição necessária,['Nubank'],"São Paulo, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
13,ObjectId(6091f3547ef2d107a44055d9),2021-05-04 12:32:35,boa vá poder dar merecer kkkkkkk,['Xiaomi'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'Pow3rTale', 'name': 'Power ✨SORTEIO NO FIXADO✨', 'id': 1225962221647339522, 'id_str': '1225962221647339522', 'indices': [0, 10]}], 'symbols': []}",1.0
15,ObjectId(6091f3547ef2d107a44055db),2021-05-04 12:32:50,além linda usar,['Nike'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'mongs_hugo', 'name': 'hugo ✨', 'id': 1208201731068321792, 'id_str': '1208201731068321792', 'indices': [3, 14]}], 'symbols': []}",1.0
