,created_at,tweet_content,keyword,user_location,hashtags,symbols,urls,user_mentions,avg_sentiment
0,2021-05-04 12:30:48,mds nubank nunca libera mais limite pra mim,['Nubank'],Goiânia,[],[],[],[],0
2,2021-05-04 12:31:27,"toda vez que vejo Nubank nos tt vou lá conferir que meu saldo tá certo

juro que traumatizei com as histórias do nubank roubando dinheiro",['Nubank'],None,[],[],[],[],0
7,2021-05-04 12:31:46,@Rodrigolps_ No meu caso eu só observo a nubank aumentando os juros da minha dívida 😪,['Nubank'],🏳️‍🌈,[],[],[],"[{'screen_name': 'Rodrigolps_', 'name': 'lovezinho', 'id': 487731479, 'id_str': '487731479', 'indices': [0, 12]}]",0
8,2021-05-04 12:31:47,@msswx @nubank Processo neles,['Nubank'],Macaé,[],[],[],"[{'screen_name': 'msswx', 'name': 'Mari Siqueira', 'id': 1240771193319370752, 'id_str': '1240771193319370752', 'indices': [0, 6]}, {'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [7, 14]}]",0
12,2021-05-04 12:32:31,"“Vou gastar tudo na Nike, cueca da Calvin Klein”",['Nike'],Hell not Helsinki,[],[],[],[],0
14,2021-05-04 12:32:35,"eu: vou parar de comer besteira 

logo dps meu café da manhã foi bis e coca cola",['Coca cola'],None,[],[],[],[],0
18,2021-05-04 12:33:13,"tipo a parada de falar que a furia é muito nike e gatorade e o plano é raiz, além do bagulho do SM",['Nike'],None,[],[],[],[],0
19,2021-05-04 12:33:39,@nubank que ódio de você! Não pode aprovar meu crédito por quê ?,['Nubank'],None,[],[],[],"[{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [0, 7]}]",0
30,2021-05-04 12:35:17,"Nubank generoso deixando o povo se endividar e pagar juros ai que lindo, nubank o amigo de todos sqn.",['Nubank'],None,[],[],[],[],0
32,2021-05-04 12:35:18,nubank esse aumento de limite ta me dando gatilho,['Nubank'],"Pindamonhangaba, Brasil",[],[],[],[],0
37,2021-05-04 12:35:50,achei o vestido na shein q odio,['SHEIN'],"Salvador, Brasil",[],[],[],[],0
42,2021-05-04 12:36:27,"todos aquellos hombres q todo este tiempo (antes de q llegara mi pedido de shein) me ignoraron q sepan q ahora que estoy en mi cima (ha llegado mi pedido de shein) no estoy para ellos

si no estuviste en las malas (antes de shein) no tendras lugar en las buenas (después de shein)",['SHEIN'],None,[],[],[],[],0
46,2021-05-04 12:36:52,"@deszanti ardidas geralmente

mas depende do nike",['Nike'],"Guarulhos, Iraque",[],[],[],"[{'screen_name': 'deszanti', 'name': 'lua', 'id': 777317655007129600, 'id_str': '777317655007129600', 'indices': [0, 9]}]",0
47,2021-05-04 12:37:15,Nunca mais meu limite do Nubank aumentou,['Nubank'],Aldeia da Folha 🍃,[],[],[],[],0
50,2021-05-04 12:37:46,"Vi o @nubank no topo, já vim correndo ver se era o Apple Pay! 🤡🤡🤡 agiliza aí né @Apple 🙏🏼",['Nubank'],"Goiânia, Brasil",[],[],[],"[{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [5, 12]}, {'screen_name': 'Apple', 'name': 'Apple', 'id': 380749300, 'id_str': '380749300', 'indices': [80, 86]}]",0
51,2021-05-04 12:37:49,"@akbilbo Drx paia dms, e só ele p me roubar da nike",['Nike'],031💸Ced,[],[],[],"[{'screen_name': 'akbilbo', 'name': 'bilbo', 'id': 2786336070, 'id_str': '2786336070', 'indices': [0, 8]}]",0
54,2021-05-04 12:38:21,eu amo que o nubank só aumenta o limite de quem nem emprego tem,['Nubank'],None,[],[],[],"[{'screen_name': 'danilopaulodf', 'name': 'blessed bacon', 'id': 2352330198, 'id_str': '2352330198', 'indices': [3, 17]}]",0
55,2021-05-04 12:39:07,todo mundo ganhando aumento no limite da nubank e eu tendo o pedido de aumento recusado 🤡🤡🤡,['Nubank'],rio de janeiro,[],[],[],[],0
57,2021-05-04 12:39:21,"é golpe seguido de golpe Nubank e todos os outros cartões de crédito.
No fundo todos nós precisamos aprender nas aulas da Nathalia Arcuri",['Nubank'],"Campina Grande, Brasil",[],[],[],[],0
58,2021-05-04 12:39:28,"@gabriellima_004 Por isso q eu prefiro xiaomi zz , a câmera pode perder pro iPhone mais a bateria é o dia todo kkkkkkkk",['Xiaomi'],"Contagem, Brasil",[],[],[],"[{'screen_name': 'gabriellima_004', 'name': 'lima 🔺', 'id': 1172164441892413442, 'id_str': '1172164441892413442', 'indices': [0, 16]}]",0
63,2021-05-04 12:40:01,E eu que tenho Nubank a anos e meu limite nunca aumentou nem 1 centavo 🤡🤡,['Nubank'],None,[],[],[],[],0
64,2021-05-04 12:40:06,"entao Nubank aumentou varios limites ate de quem nem ta com renda e eu que to com renda e pago tudo em dia, nao tenho, fdp",['Nubank'],Red Room,[],[],[],[],0
67,2021-05-04 12:40:25,sedenta por pontos na shein,['SHEIN'],Guilherme 👼🏽🥀🖤,[],[],[],[],0
68,2021-05-04 12:40:25,"vai toma no cu, taxa de 6,50 pra sacar dinheiro no nubank",['Nubank'],"Londrina, Brasil",[],[],[],[],0
69,2021-05-04 12:40:33,aposto que se eu for no @Banrisul eles me dão um limite maior do que eu pedi na @nubank,['Nubank'],Porto Alegre -RS,[],[],[],"[{'screen_name': 'Banrisul', 'name': 'Banrisul', 'id': 296257613, 'id_str': '296257613', 'indices': [24, 33]}, {'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [80, 87]}]",0
72,2021-05-04 12:41:03,"@nubank @Joarlens Nubank rapaz 1,00 de limite é uma afronta, estou me sentindo menosprezada 🤣🤣🤣🤣🤣",['Nubank'],None,[],[],[],"[{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [0, 7]}, {'screen_name': 'Joarlens', 'name': 'Joarlens Afonso', 'id': 2799218177, 'id_str': '2799218177', 'indices': [8, 17]}]",0
