,created_at,tweet_content,keyword,user_location,hashtags,symbols,urls,user_mentions,avg_sentiment
1,2021-05-04 12:31:09,mais viciado que a bateria do meu celular só eu por coca-cola 🤦🏻‍♀️🤦🏻‍♀️,['Coca-cola'],Balneário Camboriú,[],[],[],[],1
3,2021-05-04 12:31:25,Pedi 10k de limite pra Nubank serasi?,['Nubank'],"Rio de Janeiro, Brasil",[],[],[],[],1
4,2021-05-04 12:31:20,"@kayofeer @nubank Aconteceu isso c a minha mãe, quase 1 ano e nada ainda",['Nubank'],"Macaé, Brasil",[],[],[],"[{'screen_name': 'kayofeer', 'name': 'Kayo', 'id': 1604672425, 'id_str': '1604672425', 'indices': [0, 9]}, {'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [10, 17]}]",1
5,2021-05-04 12:31:34,"Fui escolhido e Nubank aumentou 50 reais no meu limite … uau, revolucionário KKKKKKKKK",['Nubank'],"Ribeirão Preto, Brasil",[],[],[],[],1
6,2021-05-04 12:31:35,Vocês acham que esses preju que nubank teve até uns tempos é algo inesperado... Ahhh inocente ➡️,['Nubank'],"São Paulo, Brasil",[],[],[],[],1
9,2021-05-04 12:31:56,O nubank tá mais que preparada pra esses riscos ... E claro que para conquistar espaço essa exposição é necessária. ➡️,['Nubank'],"São Paulo, Brasil",[],[],[],[],1
10,2021-05-04 12:32:17,@Lukinhasbp17 Kkkkkkkk Nubank gosta deu,['Nubank'],"Palmas, Brasil",[],[],[],"[{'screen_name': 'Lukinhasbp17', 'name': 'luquinha', 'id': 1064206856233648133, 'id_str': '1064206856233648133', 'indices': [0, 13]}]",1
11,2021-05-04 12:32:19,O nubank tá mais que preparado pra esses riscos ... E claro que para conquistar espaço essa exposição é necessária. ➡️,['Nubank'],"São Paulo, Brasil",[],[],[],[],1
13,2021-05-04 12:32:35,"@Pow3rTale Boa mano, vá que eles podem dar uma xiaomi para vc, vc merece mano kkkkkkk",['Xiaomi'],None,[],[],[],"[{'screen_name': 'Pow3rTale', 'name': 'Power ✨SORTEIO NO FIXADO✨', 'id': 1225962221647339522, 'id_str': '1225962221647339522', 'indices': [0, 10]}]",1
15,2021-05-04 12:32:50,além de linda usa nike 😍,['Nike'],None,[],[],[],"[{'screen_name': 'mongs_hugo', 'name': 'hugo ✨', 'id': 1208201731068321792, 'id_str': '1208201731068321792', 'indices': [3, 14]}]",1
16,2021-05-04 12:32:55,"Já aprovei os R$ 20,00 de limite a mais que o @nubank deu e paz um pix para 586dd1fb-15fb-45ff-9fcd-63cd5cafde33 com uma mensagem.",['Nubank'],None,[],[],[],"[{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [46, 53]}]",1
17,2021-05-04 12:32:59,viciado em Shein,['SHEIN'],"Windermere, FL",[],[],[],[],1
20,2021-05-04 12:33:42,meu sonho parar de tomar coca cola,['Coca cola'],Anápolis,[],[],[],"[{'screen_name': 'brennersbueno', 'name': 'Brenner Bueno', 'id': 907328271406247937, 'id_str': '907328271406247937', 'indices': [3, 17]}]",1
21,2021-05-04 12:34:12,Nubank pare de aumentar meu limite pf eu me sinto no obrigação de gastar,['Nubank'],"Goiânia, Brasil",[],[],[],[],1
22,2021-05-04 12:34:13,nubank dobrou meu limite de novo,['Nubank'],Roo / Cba,[],[],[],[],1
23,2021-05-04 12:34:13,esse aplicativo da nike eh muito bom so queria incluir meu deezer nele,['Nike'],recife,[],[],[],[],1
24,2021-05-04 12:34:16,"o nubank liberou mais limites p todos, menos o meu ... eu só queria entender, se eu pago até dias antes da fatura vencer 
@nubank",['Nubank'],"Engenho da Rainha, Rio de Jane",[],[],[],"[{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [122, 129]}]",1
25,2021-05-04 12:34:18,Nubank aumentando meu limite do nada socorro,['Nubank'],Brasília,[],[],[],[],1
26,2021-05-04 12:34:21,"Já aprovei os R$ 20,00 de limite a mais que o @nubank deu e faz um pix para 586dd1fb-15fb-45ff-9fcd-63cd5cafde33 com uma mensagem.",['Nubank'],None,[],[],[],"[{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [46, 53]}]",1
